,총계,계(확진),격리해제,격리 중,사망,계(검사),검사 중,결과 음성
2.26.(수)09시 기준,"46,127","1,146",22,"1,113",11,"44,981","16,734","28,247"
2.27.(목)09시 기준,"57,990","1,595",24,"1,559",12,"56,395","21,097","35,298"
2.28.(금)09시 기준,"70,940","2,022",26,"1,983",13,"68,918","24,751","44,167"
2.29.(토)09시 기준,"85,693","2,931",27,"2,888",16,"82,762","29,154","53,608"
3. 1.(일)16시 기준,"98,921","3,736",30,"3,688",18,"95,185","33,360","61,825"
3. 10(화)0시 기준,"210,144","7,513",247,"7,212",54,"202,631","18,452","184,179"
3. 11(수)0시 기준,"222,395","7,755",288,"7,407",60,"214,640","18,540","196,100"
3. 2.(월)0시 기준,"109,591","4,212",31,"4,159",22,"105,379","33,799","71,580"
3. 3.(화)0시 기준,"125,851","4,812",34,"4,750",28,"121,039","35,555","85,484"
3. 4.(수)0시 기준,"136,707","5,328",41,"5,255",32,"131,379","28,414","102,965"
3. 5.(목)0시 기준,"146,541","5,766",88,"5,643",35,"140,775","21,810","118,965"
3. 6.(금)0시 기준,"164,740","6,284",108,"6,134",42,"158,456","21,832","136,624"
3. 7.(토)0시 기준,"178,189","6,767",118,"6,605",44,"171,422","19,620","151,802"
3. 8.(일)0시 기준,"188,518","7,134",130,"6,954",50,"181,384","19,376","162,008"
3. 9.(월)0시 기준,"196,618","7,382",166,"7,165",51,"189,236","17,458","171,778"
